Year,Geographical Location,Income decile,Income,Highest-to-Lowest Average Income Ratio, Income Range
1979,Ontario,Sixth decile,66100,NA,NA
1979,Ontario,Seventh decile,76600,NA,NA
1979,Ontario,Eighth decile,88800,NA,NA
1979,Ontario,Ninth decile,106300,NA,NA
1979,Ontario,Highest decile,152400,NA,NA
1979,Prairie provinces,Total deciles,62500,16.24468085106383,143300
1979,Prairie provinces,Lowest decile,9400,NA,NA
1979,Prairie provinces,Second decile,20900,NA,NA
1979,Prairie provinces,Third decile,31100,NA,NA
1979,Prairie provinces,Fourth decile,40900,NA,NA
1979,Prairie provinces,Fifth decile,50700,NA,NA
1979,Prairie provinces,Sixth decile,60900,NA,NA
1979,Prairie provinces,Seventh decile,72400,NA,NA
1979,Prairie provinces,Eighth decile,84300,NA,NA
1979,Prairie provinces,Ninth decile,101200,NA,NA
1979,Prairie provinces,Highest decile,152700,NA,NA
1979,Manitoba,Total deciles,57100,15.465909090909092,127300
1979,Manitoba,Lowest decile,8800,NA,NA
1979,Manitoba,Second decile,18000,NA,NA
1979,Manitoba,Third decile,27900,NA,NA
1979,Manitoba,Fourth decile,37200,NA,NA
1979,Manitoba,Fifth decile,46500,NA,NA
1979,Manitoba,Sixth decile,56800,NA,NA
1979,Manitoba,Seventh decile,67800,NA,NA
1979,Manitoba,Eighth decile,78700,NA,NA
1979,Manitoba,Ninth decile,93400,NA,NA
1979,Manitoba,Highest decile,136100,NA,NA
1979,Saskatchewan,Total deciles,59100,16.236559139784948,141700
1979,Saskatchewan,Lowest decile,9300,NA,NA
1979,Saskatchewan,Second decile,18500,NA,NA
1979,Saskatchewan,Third decile,28300,NA,NA
1979,Saskatchewan,Fourth decile,36700,NA,NA
1979,Saskatchewan,Fifth decile,46700,NA,NA
1979,Saskatchewan,Sixth decile,56400,NA,NA
1979,Saskatchewan,Seventh decile,67500,NA,NA
1979,Saskatchewan,Eighth decile,80100,NA,NA
1979,Saskatchewan,Ninth decile,96200,NA,NA
1979,Saskatchewan,Highest decile,151000,NA,NA
1979,Alberta,Total deciles,66400,15.831683168316832,149800
